X--Trace 1::[(V(PR3)-V(PR2))],Y--Trace 1::[(V(PR3)-V(PR2))],,X--Trace 2::[-I(Rd:2) | I(PR1)],Y--Trace 2::[-I(Rd:2) | I(PR1)],,X--Trace 3::[V(1) | V(PR3)],Y--Trace 3::[V(1) | V(PR3)]
-3.92,1.079990911,,-3.92,8.99925E-09,,-3.92,-3.920008999
-3.91,1.089990826,,-3.91,9.08262E-09,,-3.91,-3.910009083
-3.9,1.099990742,,-3.9,9.16599E-09,,-3.9,-3.900009166
-3.89,1.109990658,,-3.89,9.24936E-09,,-3.89,-3.890009249
-3.88,1.119990574,,-3.88,9.33274E-09,,-3.88,-3.880009333
-3.87,1.12999049,,-3.87,9.41611E-09,,-3.87,-3.870009416
-3.86,1.139990405,,-3.86,9.49948E-09,,-3.86,-3.860009499
-3.85,1.149990321,,-3.85,9.58285E-09,,-3.85,-3.850009583
-3.84,1.159990237,,-3.84,9.66623E-09,,-3.84,-3.840009666
-3.83,1.169990153,,-3.83,9.7496E-09,,-3.83,-3.83000975
-3.82,1.179990068,,-3.82,9.83297E-09,,-3.82,-3.820009833
-3.81,1.189989984,,-3.81,9.91634E-09,,-3.81,-3.810009916
-3.8,1.1999899,,-3.8,9.99972E-09,,-3.8,-3.80001
-3.79,1.209989816,,-3.79,1.00831E-08,,-3.79,-3.790010083
-3.78,1.219989732,,-3.78,1.01665E-08,,-3.78,-3.780010166
-3.77,1.229989647,,-3.77,1.02498E-08,,-3.77,-3.77001025
-3.76,1.239989563,,-3.76,1.03332E-08,,-3.76,-3.760010333
-3.75,1.249989479,,-3.75,1.04166E-08,,-3.75,-3.750010417
-3.74,1.259989395,,-3.74,1.05E-08,,-3.74,-3.7400105
-3.73,1.269989311,,-3.73,1.05833E-08,,-3.73,-3.730010583
-3.72,1.279989226,,-3.72,1.06667E-08,,-3.72,-3.720010667
-3.71,1.289989142,,-3.71,1.07501E-08,,-3.71,-3.71001075
-3.7,1.299989058,,-3.7,1.08334E-08,,-3.7,-3.700010833
-3.69,1.309988974,,-3.69,1.09168E-08,,-3.69,-3.690010917
-3.68,1.31998889,,-3.68,1.10002E-08,,-3.68,-3.680011
-3.67,1.329988805,,-3.67,1.10836E-08,,-3.67,-3.670011084
-3.66,1.339988721,,-3.66,1.11669E-08,,-3.66,-3.660011167
-3.65,1.349988637,,-3.65,1.12503E-08,,-3.65,-3.65001125
-3.64,1.359988553,,-3.64,1.13337E-08,,-3.64,-3.640011334
-3.63,1.369988469,,-3.63,1.14171E-08,,-3.63,-3.630011417
-3.62,1.379988384,,-3.62,1.15004E-08,,-3.62,-3.6200115
-3.61,1.3899883,,-3.61,1.15838E-08,,-3.61,-3.610011584
-3.6,1.399988216,,-3.6,1.16672E-08,,-3.6,-3.600011667
-3.59,1.409988132,,-3.59,1.17505E-08,,-3.59,-3.590011751
-3.58,1.419988048,,-3.58,1.18339E-08,,-3.58,-3.580011834
