Time (s),Channel 1 (V),Channel 2 (V)
0.0004589999999999993,-0.1341590871092058,1.182094622675662
0.0004615000000000001,-0.1301811819193625,1.187798793211879
0.0004639999999999991,-0.1265347688286758,1.194174042634703
0.0004664999999999999,-0.1238828320354463,1.199542673727613
0.0004690000000000007,-0.1215623873413703,1.202562528717376
0.0004714999999999997,-0.118247466349837,1.208937778140201
0.0004740000000000005,-0.1149325453583021,1.214977488119721
0.0004764999999999995,-0.1116176243667673,1.221352737542548
0.0004790000000000003,-0.1076397191769254,1.226385829192149
0.0004814999999999993,-0.1046562902845454,1.23208999972836
0.0004840000000000001,-0.1010098771938557,1.236116473048043
0.0004865000000000008,-0.09835794040062633,1.241485104140953
0.0004889999999999999,-0.09504301940909299,1.247524814120471
0.0004915000000000006,-0.09205959051670981,1.252557905770074
0.0004939999999999996,-0.08808168532686977,1.258262076306285
0.0004965000000000004,-0.08542974853364188,1.263966246842499
0.0004989999999999994,-0.08178333544295355,1.269670417378713
0.0005015000000000002,-0.07979438284803264,1.273361351255087
0.0005039999999999992,-0.07614796975734595,1.278729982347992
0.0005065,-0.07250155666665595,1.284098613440901
0.0005090000000000008,-0.0688551435759661,1.290138323420424
0.0005114999999999998,-0.06554022258443273,1.295171415070022
0.0005140000000000006,-0.06189380949374319,1.301211125049545
0.0005164999999999996,-0.05924187270051651,1.305908677255837
0.0005190000000000004,-0.05658993590728863,1.309935150575517
0.0005214999999999994,-0.05327501491575527,1.315303781668422
0.0005240000000000002,-0.05029158602337239,1.321007952204638
0.0005264999999999992,-0.04664517293268571,1.326712122740849
0.000529,-0.04266726774284222,1.331745214390452
0.0005315000000000007,-0.039352346751306,1.337449384926668
0.0005339999999999998,-0.03636891785892599,1.341475858246347
0.0005365000000000005,-0.03404847316485159,1.345837871009334
0.0005389999999999995,-0.03040206007416324,1.351877580988855
0.0005415000000000003,-0.02741863118178187,1.356575133195148
0.0005439999999999993,-0.02377221809109518,1.362614843174666
0.0005465000000000001,-0.02045729709955867,1.367312395380963
0.0005489999999999991,-0.01681088400887198,1.372009947587254
0.0005514999999999999,-0.01415894721564244,1.375365342020323
0.0005540000000000007,-0.01150701042241274,1.381405051999846
0.0005564999999999997,-0.007529105232572721,1.386438143649445
0.0005590000000000005,-0.003882692141884377,1.391471235299045
0.0005614999999999995,-0.0008992632495030042,1.396839866391952
0.0005640000000000003,0.00274714984118534,1.402208497484859
0.0005664999999999993,0.006062070832718691,1.406906049691151
0.0005690000000000001,0.008051023427641114,1.410596983567527
0.0005715000000000008,0.01136594441917763,1.414958996330517
0.0005739999999999999,0.01501235750986432,1.420998706310035
0.0005765000000000006,0.01832727850140098,1.425696258516331
0.0005789999999999997,0.022305183691241,1.431064889609236
0.0005815000000000004,0.02562010468277586,1.436769060145449
0.0005839999999999995,0.02860353357515723,1.43978891513521
0.0005865000000000002,0.03125547036838512,1.444150927898197
0.0005889999999999992,0.0339074071616118,1.449855098434408
0.0005915,0.03788531235145484,1.453881571754091
0.0005940000000000008,0.0412002333429912,1.459585742290307
0.0005964999999999998,0.04451515433452456,1.463947755053292
0.0005990000000000006,0.04816156742521396,1.468645307259588
0.0006014999999999996,0.0504820121192873,1.473007320022573
0.0006040000000000004,0.05445991730912913,1.478040411672173
0.0006064999999999994,0.05711185410235581,1.482402424435159
0.0006090000000000002,0.06142125139135234,1.487099976641454
0.0006114999999999992,0.06407318818457901,1.491797528847746
0.000614,0.06805109337442206,1.497837238827269
0.0006165000000000007,0.07070303016765116,1.499850475487111
0.0006189999999999998,0.07335496696087782,1.504212488250096
0.0006215000000000005,0.07633839585325919,1.50891004045639
0.0006239999999999996,0.07998480894394755,1.514278671549297
0.0006265000000000003,0.08396271413378936,1.519311763198897
0.0006289999999999994,0.08727763512532273,1.524009315405189
0.0006315000000000001,0.09092404821601258,1.528371328168178
0.0006339999999999991,0.09291300081093258,1.531391183157937
0.0006364999999999999,0.09589642970331486,1.536088735364233
0.0006390000000000007,0.09987433489315835,1.541121827013835
0.0006414999999999997,0.103520747983845,1.546154918663433
0.0006440000000000005,0.1068356689753799,1.5495103130965
0.0006464999999999995,0.1094876057686078,1.554207865302794
0.0006490000000000003,0.1131340188592961,1.558234338622475
0.0006514999999999993,0.1157859556525228,1.561925272498847
0.0006540000000000001,0.1191008766440589,1.566287285261835
0.0006565000000000008,0.1227472897347486,1.570984837468131
0.0006589999999999999,0.1257307186271286,1.575682389674423
0.0006615000000000006,0.1297086238169718,1.580715481324025
0.0006639999999999997,0.1326920527093518,1.584741954643704
0.0006665000000000004,0.1346810053042727,1.587090730746851
0.0006689999999999995,0.1379959262958076,1.592123822396451
0.0006715000000000002,0.1413108472873424,1.595479216829518
0.0006739999999999993,0.1449572603780291,1.600847847922423
0.0006765,0.1486036734687191,1.605209860685413
0.0006790000000000008,0.1519185944602556,1.609236334005095
0.0006814999999999998,0.1555650075509423,1.613262807324773
0.0006840000000000006,0.1575539601458644,1.615611583427922
0.0006864999999999996,0.1602058969390911,1.620644675077521
0.0006890000000000004,0.1641838021289329,1.624671148397201
0.0006914999999999994,0.1674987231204678,1.628362082273575
0.0006940000000000002,0.1708136441120027,1.632053016149948
0.0006964999999999992,0.174128565103536,1.637421647242853
0.000699,0.1774434860950724,1.640105962789309
0.0007015000000000007,0.1797639307891485,1.643125817779072
0.0007039999999999998,0.1834103438798351,1.648494448871977
0.0007065000000000005,0.18672526487137,1.65218538274835
0.0007089999999999996,0.1897086937637514,1.655876316624724
0.0007115000000000003,0.1936865989535932,1.660238329387711
0.0007139999999999994,0.1966700278459732,1.66426480270739
0.0007165000000000001,0.198990472540049,1.666613578810539
0.0007189999999999992,0.2023053935315823,1.67131113101683
0.0007214999999999999,0.2049573303248117,1.674330986006593
0.0007240000000000007,0.208935235514655,1.678357459326275
0.0007264999999999997,0.2122501565061884,1.68271947208926
0.0007290000000000005,0.2155650774977232,1.686410405965634
0.0007314999999999995,0.2188799984892581,1.690436879285314
0.0007340000000000003,0.2205374589850256,1.692785655388461
0.0007364999999999993,0.2241838720757122,1.697147668151446
0.0007390000000000001,0.2274987930672487,1.699831983697902
0.0007415000000000008,0.2308137140587854,1.703858457017584
0.0007439999999999999,0.2347916192486254,1.707884930337263
0.0007465000000000006,0.2377750481410085,1.711240324770331
0.0007489999999999997,0.2414214612316951,1.71426017976009
0.0007515000000000004,0.2430789217274626,1.716944495306543
0.0007539999999999995,0.246062350619844,1.720635429182917
0.0007565000000000002,0.2500402558096858,1.724997441945904
0.0007589999999999993,0.2530236847020658,1.728688375822276
0.0007615,0.255675621495295,1.732379309698652
0.0007640000000000008,0.2599850187842912,1.73573470413172
0.0007664999999999998,0.2619739713792112,1.738083480234865
0.0007690000000000006,0.2652888923707476,1.741774414111241
0.0007714999999999996,0.268603813362281,1.745129808544306
0.0007740000000000004,0.2719187343538158,1.749491821307293
0.0007764999999999994,0.2745706711470437,1.752511676297054
0.0007790000000000002,0.2785485763368855,1.756202610173427
0.0007814999999999992,0.2812005131301122,1.758551386276573
0.000784,0.2835209578241878,1.761571241266334
0.0007865000000000007,0.2871673709148775,1.765262175142709
0.0007889999999999998,0.2901507998072576,1.767610951245855
0.0007915000000000005,0.2931342286996389,1.771637424565536
0.0007939999999999996,0.2971121338894808,1.775663897885216
0.0007965000000000003,0.2997640706827086,1.777677134545056
0.0007989999999999994,0.3017530232776287,1.780025910648202
0.0008015000000000001,0.3047364521700109,1.783045765637963
0.0008039999999999992,0.3083828652606976,1.786401160071029
0.0008064999999999999,0.3120292783513876,1.790427633390711
0.0008090000000000007,0.3150127072437705,1.793111948937166
0.0008114999999999997,0.3183276282353039,1.796467343370231
0.0008140000000000005,0.3209795650285317,1.798145040586765
0.0008164999999999995,0.3236315018217596,1.802171513906445
0.0008190000000000003,0.3269464228132944,1.804855829452899
0.0008214999999999993,0.3299298517056745,1.807875684442658
0.0008240000000000001,0.3332447726972107,1.811231078875726
0.0008264999999999991,0.3365596936887441,1.814250933865485
0.0008289999999999999,0.339543122581127,1.817270788855247
0.0008315000000000006,0.3421950593743561,1.819955104401701
0.0008339999999999997,0.3451784882667362,1.821632801618234
0.0008365000000000004,0.348493409258271,1.824652656607994
0.0008389999999999995,0.3511453460514989,1.827336972154447
0.0008415000000000002,0.3544602670430338,1.830356827144208
0.0008439999999999993,0.3577751880345671,1.832705603247354
0.0008465,0.36075861692695,1.836060997680422
0.0008490000000000008,0.3634105537201788,1.838074234340263
0.0008514999999999998,0.3653995063150988,1.841094089330022
0.0008540000000000006,0.3687144273066355,1.84344286543317
0.0008564999999999996,0.3726923324964755,1.846127180979623
0.0008590000000000004,0.3760072534880104,1.84948257541269
0.0008614999999999994,0.3789906823803917,1.852166890959143
